particulars,posting_date,cost_center,voucher_type,debit,credit,net_balance
Span margin blocked for NSE F&O,2020-09-08,NSE-F&O - Z,Delivery Voucher,1497758.000000,0.000000,-1488669.085457
Exposure margin blocked for NSE F&O,2020-09-08,NSE-F&O - Z,Delivery Voucher,274312.170000,0.000000,-1762981.255457
Net settlement  for  NSE-Equity with settlement number: 2020174,2020-09-09,NSE-EQ - Z,Book Voucher,0.000000,319986.244298,-1442995.011159
Span margin reversed for NSE F&O,2020-09-09,NSE-F&O - Z,Delivery Voucher,0.000000,1497758.000000,54762.988841
Exposure margin reversed for NSE F&O,2020-09-09,NSE-F&O - Z,Delivery Voucher,0.000000,274312.170000,329075.158841
Span margin blocked for NSE F&O,2020-09-09,NSE-F&O - Z,Delivery Voucher,1585443.000000,0.000000,-1256367.841159
Exposure margin blocked for NSE F&O,2020-09-09,NSE-F&O - Z,Delivery Voucher,273086.450000,0.000000,-1529454.291159
DPCharges for Sale of LIQUIDBEES on 09/09/2020,2020-09-09,NSE-EQ - Z,Journal Entry,9.440000,0.000000,-1529463.731159
MF Redemption for ZH5597 STT-NO: 2021110,2020-09-10,STARMF - Z,Book Voucher,0.000000,527469.270000,-1001994.461159
Net settlement  for  NSE-Equity with settlement number: 2020175,2020-09-10,NSE-EQ - Z,Book Voucher,670127.041319,0.000000,-1672121.502478
Span margin reversed for NSE F&O,2020-09-10,NSE-F&O - Z,Delivery Voucher,0.000000,1585443.000000,-86678.502478
Exposure margin reversed for NSE F&O,2020-09-10,NSE-F&O - Z,Delivery Voucher,0.000000,273086.450000,186407.947522
Net obligation for NSE Equity F&O,2020-09-10,NSE-F&O - Z,Book Voucher,97699.077675,0.000000,88708.869847
Span margin blocked for NSE F&O,2020-09-10,NSE-F&O - Z,Delivery Voucher,1062714.000000,0.000000,-974005.130153
Exposure margin blocked for NSE F&O,2020-09-10,NSE-F&O - Z,Delivery Voucher,182158.510000,0.000000,-1156163.640153
Span margin reversed for NSE F&O,2020-09-11,NSE-F&O - Z,Delivery Voucher,0.000000,1062714.000000,-93449.640153
Exposure margin reversed for NSE F&O,2020-09-11,NSE-F&O - Z,Delivery Voucher,0.000000,182158.510000,88708.869847
Net settlement  for  NSE-Equity with settlement number: 2020176,2020-09-11,NSE-EQ - Z,Book Voucher,13606.349903,0.000000,75102.519944
Span margin blocked for NSE F&O,2020-09-11,NSE-F&O - Z,Delivery Voucher,1051915.500000,0.000000,-976812.980056
Exposure margin blocked for NSE F&O,2020-09-11,NSE-F&O - Z,Delivery Voucher,182016.430000,0.000000,-1158829.410056
DPCharges for Sale of LIQUIDBEES on 11/09/2020,2020-09-11,NSE-EQ - Z,Journal Entry,9.440000,0.000000,-1158838.850056
Span margin reversed for NSE F&O,2020-09-14,NSE-F&O - Z,Delivery Voucher,0.000000,1051915.500000,-106923.350056
Exposure margin reversed for NSE F&O,2020-09-14,NSE-F&O - Z,Delivery Voucher,0.000000,182016.430000,75093.079944
Exposure margin blocked for NSE F&O,2020-09-14,NSE-F&O - Z,Delivery Voucher,180755.790000,0.000000,-105662.710056
Span margin blocked for NSE F&O,2020-09-14,NSE-F&O - Z,Delivery Voucher,1084498.500000,0.000000,-1190161.210056
Net settlement  for  NSE-Equity with settlement number: 2020177,2020-09-14,NSE-EQ - Z,Book Voucher,20003.670800,0.000000,-1210164.880856
Net settlement  for  NSE-Equity with settlement number: 2020178,2020-09-15,NSE-EQ - Z,Book Voucher,0.000000,59997.411218,-1150167.469638
Span margin reversed for NSE F&O,2020-09-15,NSE-F&O - Z,Delivery Voucher,0.000000,1084498.500000,-65668.969638
Exposure margin reversed for NSE F&O,2020-09-15,NSE-F&O - Z,Delivery Voucher,0.000000,180755.790000,115086.820362
Net obligation for NSE Equity F&O,2020-09-15,NSE-F&O - Z,Book Voucher,0.000000,23281.009453,138367.829815
Span margin blocked for NSE F&O,2020-09-15,NSE-F&O - Z,Delivery Voucher,1343792.250000,0.000000,-1205424.420185
Exposure margin blocked for NSE F&O,2020-09-15,NSE-F&O - Z,Delivery Voucher,239136.430000,0.000000,-1444560.850185
DPCharges for Sale of LIQUIDBEES on 15/09/2020,2020-09-15,NSE-EQ - Z,Journal Entry,9.440000,0.000000,-1444570.290185
MF Redemption for ZH5597 STT-NO: 2021114,2020-09-16,STARMF - Z,Book Voucher,0.000000,674796.200000,-769774.090185
Span margin reversed for NSE F&O,2020-09-16,NSE-F&O - Z,Delivery Voucher,0.000000,1343792.250000,574018.159815
Exposure margin reversed for NSE F&O,2020-09-16,NSE-F&O - Z,Delivery Voucher,0.000000,239136.430000,813154.589815
Net obligation for NSE Equity F&O,2020-09-16,NSE-F&O - Z,Book Voucher,5880.981062,0.000000,807273.608753
Span margin blocked for NSE F&O,2020-09-16,NSE-F&O - Z,Delivery Voucher,1249713.500000,0.000000,-442439.891247
Exposure margin blocked for NSE F&O,2020-09-16,NSE-F&O - Z,Delivery Voucher,186610.030000,0.000000,-629049.921247
Net settlement  for  NSE-Equity with settlement number: 2020179,2020-09-16,NSE-EQ - Z,Book Voucher,50009.954301,0.000000,-679059.875548
Being pledge charges for BHARTIARTL,2020-09-16,NSE-EQ - Z,Journal Entry,35.400000,0.000000,-679095.275548
Net settlement  for  NSE-Equity with settlement number: 2020180,2020-09-17,NSE-EQ - Z,Book Voucher,0.000000,29971.913498,-649123.362050
Span margin reversed for NSE F&O,2020-09-17,NSE-F&O - Z,Delivery Voucher,0.000000,1249713.500000,600590.137950
Exposure margin reversed for NSE F&O,2020-09-17,NSE-F&O - Z,Delivery Voucher,0.000000,186610.030000,787200.167950
Net obligation for NSE Equity F&O,2020-09-17,NSE-F&O - Z,Book Voucher,0.000000,30416.527720,817616.695670
Span margin blocked for NSE F&O,2020-09-17,NSE-F&O - Z,Delivery Voucher,1556700.950000,0.000000,-739084.254330
Exposure margin blocked for NSE F&O,2020-09-17,NSE-F&O - Z,Delivery Voucher,413915.940000,0.000000,-1153000.194330
Net settlement  for  NSE-Equity with settlement number: 2020181,2020-09-18,NSE-EQ - Z,Book Voucher,0.000000,19999.129206,-1133001.065124
Span margin reversed for NSE F&O,2020-09-18,NSE-F&O - Z,Delivery Voucher,0.000000,1556700.950000,423699.884876
Exposure margin reversed for NSE F&O,2020-09-18,NSE-F&O - Z,Delivery Voucher,0.000000,413915.940000,837615.824876
Net obligation for NSE Equity F&O,2020-09-18,NSE-F&O - Z,Book Voucher,29885.408486,0.000000,807730.416390
Span margin blocked for NSE F&O,2020-09-18,NSE-F&O - Z,Delivery Voucher,1330426.000000,0.000000,-522695.583610
Exposure margin blocked for NSE F&O,2020-09-18,NSE-F&O - Z,Delivery Voucher,290642.220000,0.000000,-813337.803610
DPCharges for Sale of LIQUIDBEES on 18/09/2020,2020-09-18,NSE-EQ - Z,Journal Entry,9.440000,0.000000,-813347.243610
Span margin reversed for NSE F&O,2020-09-21,NSE-F&O - Z,Delivery Voucher,0.000000,1330426.000000,517078.756390
Exposure margin reversed for NSE F&O,2020-09-21,NSE-F&O - Z,Delivery Voucher,0.000000,290642.220000,807720.976390
Span margin blocked for NSE F&O,2020-09-21,NSE-F&O - Z,Delivery Voucher,1361277.000000,0.000000,-553556.023610
Exposure margin blocked for NSE F&O,2020-09-21,NSE-F&O - Z,Delivery Voucher,265126.110000,0.000000,-818682.133610
Span margin reversed for NSE F&O,2020-09-22,NSE-F&O - Z,Delivery Voucher,0.000000,1361277.000000,542594.866390
Exposure margin reversed for NSE F&O,2020-09-22,NSE-F&O - Z,Delivery Voucher,0.000000,265126.110000,807720.976390
Net obligation for NSE Equity F&O,2020-09-22,NSE-F&O - Z,Book Voucher,393.818485,0.000000,807327.157905
Span margin blocked for NSE F&O,2020-09-22,NSE-F&O - Z,Delivery Voucher,1337744.750000,0.000000,-530417.592095
Exposure margin blocked for NSE F&O,2020-09-22,NSE-F&O - Z,Delivery Voucher,236548.840000,0.000000,-766966.432095
Span margin reversed for NSE F&O,2020-09-23,NSE-F&O - Z,Delivery Voucher,0.000000,1337744.750000,570778.317905
Exposure margin reversed for NSE F&O,2020-09-23,NSE-F&O - Z,Delivery Voucher,0.000000,236548.840000,807327.157905
Net obligation for NSE Equity F&O,2020-09-23,NSE-F&O - Z,Book Voucher,135830.674810,0.000000,671496.483095
Exposure margin blocked for NSE F&O,2020-09-23,NSE-F&O - Z,Delivery Voucher,73910.510000,0.000000,597585.973095
Span margin blocked for NSE F&O,2020-09-23,NSE-F&O - Z,Delivery Voucher,431889.000000,0.000000,165696.973095
ASM margin blocked NSE F&O positions held,2020-09-23,NSE-F&O - Z,Delivery Voucher,574809.900000,0.000000,-409112.926905
Funds added using payment gateway from ZH5597 with reference number 2081278594,2020-09-23,NSE-EQ - Z,Bank Receipts,0.000000,600000.000000,190887.073095
Being payment gateway charges debited for ZH5597,2020-09-23,NSE-EQ - Z,Journal Entry,10.620000,0.000000,190876.453095
ASM margin reversed for NSE F&O positions held,2020-09-24,NSE-F&O - Z,Delivery Voucher,0.000000,574809.900000,765686.353095
Span margin reversed for NSE F&O,2020-09-24,NSE-F&O - Z,Delivery Voucher,0.000000,431889.000000,1197575.353095
Exposure margin reversed for NSE F&O,2020-09-24,NSE-F&O - Z,Delivery Voucher,0.000000,73910.510000,1271485.863095
Net obligation for NSE Equity F&O,2020-09-24,NSE-F&O - Z,Book Voucher,59629.718211,0.000000,1211856.144884
Span margin blocked for NSE F&O,2020-09-24,NSE-F&O - Z,Delivery Voucher,64524.000000,0.000000,1147332.144884
Exposure margin blocked for NSE F&O,2020-09-24,NSE-F&O - Z,Delivery Voucher,16488.680000,0.000000,1130843.464884
Net settlement  for  NSE-Equity with settlement number: 2020185,2020-09-24,NSE-EQ - Z,Book Voucher,957073.649998,0.000000,173769.814886
DP Charges for Sale of BHARTIARTL on 25/09/2020,2020-09-25,NSE-EQ - Z,Journal Entry,15.930000,0.000000,173753.884886
Span margin reversed for NSE F&O,2020-09-25,NSE-F&O - Z,Delivery Voucher,0.000000,64524.000000,238277.884886
Exposure margin reversed for NSE F&O,2020-09-25,NSE-F&O - Z,Delivery Voucher,0.000000,16488.680000,254766.564886
Span margin blocked for NSE F&O,2020-09-25,NSE-F&O - Z,Delivery Voucher,73131.000000,0.000000,181635.564886
Exposure margin blocked for NSE F&O,2020-09-25,NSE-F&O - Z,Delivery Voucher,16917.600000,0.000000,164717.964886
Net settlement  for  NSE-Equity with settlement number: 2020186,2020-09-25,NSE-EQ - Z,Book Voucher,0.000000,479406.978986,644124.943872
Payout of 200000.0/- to ICICI BANK 016901529995 A/C number as per withdrawal request made on 2020-09-25,2020-09-25,NSE-EQ - Z,Bank Payments,200000.000000,0.000000,444124.943872
Investment in Axis Liquid DP MF with settlement no: 2021123,2020-09-28,STARMF - Z,Book Voucher,400000.000000,0.000000,44124.943872
Span margin reversed for NSE F&O,2020-09-28,NSE-F&O - Z,Delivery Voucher,0.000000,73131.000000,117255.943872
Exposure margin reversed for NSE F&O,2020-09-28,NSE-F&O - Z,Delivery Voucher,0.000000,16917.600000,134173.543872
Net obligation for NSE Equity F&O,2020-09-28,NSE-F&O - Z,Book Voucher,0.000000,30999.560533,165173.104405
Span margin blocked for NSE F&O,2020-09-28,NSE-F&O - Z,Delivery Voucher,302684.750000,0.000000,-137511.645595
Exposure margin blocked for NSE F&O,2020-09-28,NSE-F&O - Z,Delivery Voucher,56628.470000,0.000000,-194140.115595
Bank account modification,2020-09-29,NSE-EQ - Z,Journal Entry,29.500000,0.000000,-194169.615595
Funds added using UPI ZH5597 with reference number 27313408334,2020-09-29,NSE-EQ - Z,Bank Receipts,0.000000,20000.000000,-174169.615595
Span margin reversed for NSE F&O,2020-09-29,NSE-F&O - Z,Delivery Voucher,0.000000,302684.750000,128515.134405
Exposure margin reversed for NSE F&O,2020-09-29,NSE-F&O - Z,Delivery Voucher,0.000000,56628.470000,185143.604405
Span margin blocked for NSE F&O,2020-09-29,NSE-F&O - Z,Delivery Voucher,301261.750000,0.000000,-116118.145595
Exposure margin blocked for NSE F&O,2020-09-29,NSE-F&O - Z,Delivery Voucher,56668.680000,0.000000,-172786.825595
Span margin reversed for NSE F&O,2020-09-30,NSE-F&O - Z,Delivery Voucher,0.000000,301261.750000,128474.924405
Exposure margin reversed for NSE F&O,2020-09-30,NSE-F&O - Z,Delivery Voucher,0.000000,56668.680000,185143.604405
Span margin blocked for NSE F&O,2020-09-30,NSE-F&O - Z,Delivery Voucher,295413.250000,0.000000,-110269.645595
Exposure margin blocked for NSE F&O,2020-09-30,NSE-F&O - Z,Delivery Voucher,56469.590000,0.000000,-166739.235595
Being pledge charges for AXISCFDG,2020-10-01,NSE-EQ - Z,Journal Entry,35.400000,0.000000,-166774.635595
Span margin reversed for NSE F&O,2020-10-01,NSE-F&O - Z,Delivery Voucher,0.000000,295413.250000,128638.614405
Exposure margin reversed for NSE F&O,2020-10-01,NSE-F&O - Z,Delivery Voucher,0.000000,56469.590000,185108.204405
Span margin blocked for NSE F&O,2020-10-01,NSE-F&O - Z,Delivery Voucher,287955.750000,0.000000,-102847.545595
Exposure margin blocked for NSE F&O,2020-10-01,NSE-F&O - Z,Delivery Voucher,56268.840000,0.000000,-159116.385595
Payout of 1000.0/- to IDFC BANK 10037332087 A/C number as per withdrawal request made on 2020-10-01,2020-10-01,NSE-EQ - Z,Bank Payments,1000.000000,0.000000,-160116.385595
Span margin reversed for NSE F&O,2020-10-05,NSE-F&O - Z,Delivery Voucher,0.000000,287955.750000,127839.364405
Exposure margin reversed for NSE F&O,2020-10-05,NSE-F&O - Z,Delivery Voucher,0.000000,56268.840000,184108.204405
Net obligation for NSE Equity F&O,2020-10-05,NSE-F&O - Z,Book Voucher,0.000000,4781.559693,188889.764098
Span margin blocked for NSE F&O,2020-10-05,NSE-F&O - Z,Delivery Voucher,332617.750000,0.000000,-143727.985902
Exposure margin blocked for NSE F&O,2020-10-05,NSE-F&O - Z,Delivery Voucher,71280.330000,0.000000,-215008.315902
Payout of 180000.0/- to IDFC BANK 10037332087 A/C number as per withdrawal request made on 2020-10-05,2020-10-05,NSE-EQ - Z,Bank Payments,180000.000000,0.000000,-395008.315902
Span margin reversed for NSE F&O,2020-10-06,NSE-F&O - Z,Delivery Voucher,0.000000,332617.750000,-62390.565902
Exposure margin reversed for NSE F&O,2020-10-06,NSE-F&O - Z,Delivery Voucher,0.000000,71280.330000,8889.764098
Net obligation for NSE Equity F&O,2020-10-06,NSE-F&O - Z,Book Voucher,0.000000,49122.347379,58012.111477
Span margin blocked for NSE F&O,2020-10-06,NSE-F&O - Z,Delivery Voucher,507279.000000,0.000000,-449266.888523
Exposure margin blocked for NSE F&O,2020-10-06,NSE-F&O - Z,Delivery Voucher,91292.660000,0.000000,-540559.548523
Delayed payment charges for September - 2020,2020-10-06,NSE-EQ - Z,Journal Entry,848.860000,0.000000,-541408.408523
Span margin reversed for NSE F&O,2020-10-07,NSE-F&O - Z,Delivery Voucher,0.000000,507279.000000,-34129.408523
Exposure margin reversed for NSE F&O,2020-10-07,NSE-F&O - Z,Delivery Voucher,0.000000,91292.660000,57163.251477
Span margin blocked for NSE F&O,2020-10-07,NSE-F&O - Z,Delivery Voucher,520317.000000,0.000000,-463153.748523
Exposure margin blocked for NSE F&O,2020-10-07,NSE-F&O - Z,Delivery Voucher,91703.060000,0.000000,-554856.808523
Span margin reversed for NSE F&O,2020-10-08,NSE-F&O - Z,Delivery Voucher,0.000000,520317.000000,-34539.808523
Exposure margin reversed for NSE F&O,2020-10-08,NSE-F&O - Z,Delivery Voucher,0.000000,91703.060000,57163.251477
Span margin blocked for NSE F&O,2020-10-08,NSE-F&O - Z,Delivery Voucher,503229.250000,0.000000,-446065.998523
Exposure margin blocked for NSE F&O,2020-10-08,NSE-F&O - Z,Delivery Voucher,91196.920000,0.000000,-537262.918523
Payout of 50000.0/- to IDFC BANK 10037332087 A/C number as per withdrawal request made on 2020-10-08,2020-10-08,NSE-EQ - Z,Bank Payments,50000.000000,0.000000,-587262.918523
Funds added using payment gateway from ZH5597 with reference number 24983499,2020-10-09,NSE-EQ - Z,Bank Receipts,0.000000,5000.000000,-582262.918523
Being payment gateway charges debited for ZH5597,2020-10-09,NSE-EQ - Z,Journal Entry,10.620000,0.000000,-582273.538523
Span margin reversed for NSE F&O,2020-10-09,NSE-F&O - Z,Delivery Voucher,0.000000,503229.250000,-79044.288523
Exposure margin reversed for NSE F&O,2020-10-09,NSE-F&O - Z,Delivery Voucher,0.000000,91196.920000,12152.631477
Net obligation for NSE Equity F&O,2020-10-09,NSE-F&O - Z,Book Voucher,0.000000,752.191624,12904.823101
Span margin blocked for NSE F&O,2020-10-09,NSE-F&O - Z,Delivery Voucher,592597.500000,0.000000,-579692.676899
Exposure margin blocked for NSE F&O,2020-10-09,NSE-F&O - Z,Delivery Voucher,109320.950000,0.000000,-689013.626899
Being pledge charges for RELIANCE,2020-10-09,NSE-EQ - Z,Journal Entry,35.400000,0.000000,-689049.026899
Net settlement  for  NSE-Equity with settlement number: 2020196,2020-10-12,NSE-EQ - Z,Book Voucher,52.763538,0.000000,-689101.790437
Span margin reversed for NSE F&O,2020-10-12,NSE-F&O - Z,Delivery Voucher,0.000000,592597.500000,-96504.290437
Exposure margin reversed for NSE F&O,2020-10-12,NSE-F&O - Z,Delivery Voucher,0.000000,109320.950000,12816.659563
Span margin blocked for NSE F&O,2020-10-12,NSE-F&O - Z,Delivery Voucher,590052.500000,0.000000,-577235.840437
Exposure margin blocked for NSE F&O,2020-10-12,NSE-F&O - Z,Delivery Voucher,109241.010000,0.000000,-686476.850437
Span margin reversed for NSE F&O,2020-10-13,NSE-F&O - Z,Delivery Voucher,0.000000,590052.500000,-96424.350437
Exposure margin reversed for NSE F&O,2020-10-13,NSE-F&O - Z,Delivery Voucher,0.000000,109241.010000,12816.659563
Span margin blocked for NSE F&O,2020-10-13,NSE-F&O - Z,Delivery Voucher,608754.750000,0.000000,-595938.090437
Exposure margin blocked for NSE F&O,2020-10-13,NSE-F&O - Z,Delivery Voucher,109851.070000,0.000000,-705789.160437
Span margin reversed for NSE F&O,2020-10-14,NSE-F&O - Z,Delivery Voucher,0.000000,608754.750000,-97034.410437
Exposure margin reversed for NSE F&O,2020-10-14,NSE-F&O - Z,Delivery Voucher,0.000000,109851.070000,12816.659563
Span margin blocked for NSE F&O,2020-10-14,NSE-F&O - Z,Delivery Voucher,602195.500000,0.000000,-589378.840437
Exposure margin blocked for NSE F&O,2020-10-14,NSE-F&O - Z,Delivery Voucher,109273.240000,0.000000,-698652.080437
Span margin reversed for NSE F&O,2020-10-15,NSE-F&O - Z,Delivery Voucher,0.000000,602195.500000,-96456.580437
Exposure margin reversed for NSE F&O,2020-10-15,NSE-F&O - Z,Delivery Voucher,0.000000,109273.240000,12816.659563
Net obligation for NSE Equity F&O,2020-10-15,NSE-F&O - Z,Book Voucher,0.011800,0.000000,12816.647763
Span margin blocked for NSE F&O,2020-10-15,NSE-F&O - Z,Delivery Voucher,462280.750000,0.000000,-449464.102237
Exposure margin blocked for NSE F&O,2020-10-15,NSE-F&O - Z,Delivery Voucher,89527.800000,0.000000,-538991.902237
Span margin reversed for NSE F&O,2020-10-16,NSE-F&O - Z,Delivery Voucher,0.000000,462280.750000,-76711.152237
Exposure margin reversed for NSE F&O,2020-10-16,NSE-F&O - Z,Delivery Voucher,0.000000,89527.800000,12816.647763
Span margin blocked for NSE F&O,2020-10-16,NSE-F&O - Z,Delivery Voucher,455528.750000,0.000000,-442712.102237
Exposure margin blocked for NSE F&O,2020-10-16,NSE-F&O - Z,Delivery Voucher,89494.270000,0.000000,-532206.372237
Span margin reversed for NSE F&O,2020-10-19,NSE-F&O - Z,Delivery Voucher,0.000000,455528.750000,-76677.622237
Exposure margin reversed for NSE F&O,2020-10-19,NSE-F&O - Z,Delivery Voucher,0.000000,89494.270000,12816.647763
Net obligation for NSE Equity F&O,2020-10-19,NSE-F&O - Z,Book Voucher,78325.114007,0.000000,-65508.466244
Span margin blocked for NSE F&O,2020-10-19,NSE-F&O - Z,Delivery Voucher,333692.250000,0.000000,-399200.716244
Exposure margin blocked for NSE F&O,2020-10-19,NSE-F&O - Z,Delivery Voucher,87416.740000,0.000000,-486617.456244
Net settlement  for  NSE-Equity with settlement number: 2020201,2020-10-19,NSE-EQ - Z,Book Voucher,0.000000,581515.022836,94897.566592
DP Charges for Sale of HDFC on 19/10/2020,2020-10-19,NSE-EQ - Z,Journal Entry,15.930000,0.000000,94881.636592
Span margin reversed for NSE F&O,2020-10-20,NSE-F&O - Z,Delivery Voucher,0.000000,333692.250000,428573.886592
Exposure margin reversed for NSE F&O,2020-10-20,NSE-F&O - Z,Delivery Voucher,0.000000,87416.740000,515990.626592
Span margin blocked for NSE F&O,2020-10-20,NSE-F&O - Z,Delivery Voucher,316122.500000,0.000000,199868.126592
Exposure margin blocked for NSE F&O,2020-10-20,NSE-F&O - Z,Delivery Voucher,86758.080000,0.000000,113110.046592
DP Charges for Sale of EQUITAS on 20/10/2020,2020-10-20,NSE-EQ - Z,Journal Entry,15.930000,0.000000,113094.116592
Net settlement  for  NSE-Equity with settlement number: 2020202,2020-10-20,NSE-EQ - Z,Book Voucher,0.000000,49.886409,113144.003001
AMC for Demat Account for 29-06-2020 to 28-09-2020,2020-10-20,NSE-EQ - Z,Journal Entry,88.500000,0.000000,113055.503001
Span margin reversed for NSE F&O,2020-10-21,NSE-F&O - Z,Delivery Voucher,0.000000,316122.500000,429178.003001
Exposure margin reversed for NSE F&O,2020-10-21,NSE-F&O - Z,Delivery Voucher,0.000000,86758.080000,515936.083001
Span margin blocked for NSE F&O,2020-10-21,NSE-F&O - Z,Delivery Voucher,303088.250000,0.000000,212847.833001
Exposure margin blocked for NSE F&O,2020-10-21,NSE-F&O - Z,Delivery Voucher,86782.200000,0.000000,126065.633001
Net settlement  for  NSE-Equity with settlement number: 2020204,2020-10-22,NSE-EQ - Z,Book Voucher,298369.031441,0.000000,-172303.398440
Span margin reversed for NSE F&O,2020-10-22,NSE-F&O - Z,Delivery Voucher,0.000000,303088.250000,130784.851560
Exposure margin reversed for NSE F&O,2020-10-22,NSE-F&O - Z,Delivery Voucher,0.000000,86782.200000,217567.051560
Span margin blocked for NSE F&O,2020-10-22,NSE-F&O - Z,Delivery Voucher,307673.500000,0.000000,-90106.448440
Exposure margin blocked for NSE F&O,2020-10-22,NSE-F&O - Z,Delivery Voucher,86968.790000,0.000000,-177075.238440
Payout of 200000.0/- to IDFC BANK 10037332087 A/C number as per withdrawal request made on 2020-10-22,2020-10-22,NSE-EQ - Z,Bank Payments,200000.000000,0.000000,-377075.238440
Span margin reversed for NSE F&O,2020-10-23,NSE-F&O - Z,Delivery Voucher,0.000000,307673.500000,-69401.738440
Exposure margin reversed for NSE F&O,2020-10-23,NSE-F&O - Z,Delivery Voucher,0.000000,86968.790000,17567.051560
Net obligation for NSE Equity F&O,2020-10-23,NSE-F&O - Z,Book Voucher,0.000000,1402.193036,18969.244596
Span margin blocked for NSE F&O,2020-10-23,NSE-F&O - Z,Delivery Voucher,386946.500000,0.000000,-367977.255404
Exposure margin blocked for NSE F&O,2020-10-23,NSE-F&O - Z,Delivery Voucher,123483.760000,0.000000,-491461.015404
Span margin reversed for NSE F&O,2020-10-26,NSE-F&O - Z,Delivery Voucher,0.000000,386946.500000,-104514.515404
Exposure margin reversed for NSE F&O,2020-10-26,NSE-F&O - Z,Delivery Voucher,0.000000,123483.760000,18969.244596
Span margin blocked for NSE F&O,2020-10-26,NSE-F&O - Z,Delivery Voucher,356387.750000,0.000000,-337418.505404
Exposure margin blocked for NSE F&O,2020-10-26,NSE-F&O - Z,Delivery Voucher,120800.470000,0.000000,-458218.975404
Span margin reversed for NSE F&O,2020-10-27,NSE-F&O - Z,Delivery Voucher,0.000000,356387.750000,-101831.225404
Exposure margin reversed for NSE F&O,2020-10-27,NSE-F&O - Z,Delivery Voucher,0.000000,120800.470000,18969.244596
Span margin blocked for NSE F&O,2020-10-27,NSE-F&O - Z,Delivery Voucher,375215.750000,0.000000,-356246.505404
Exposure margin blocked for NSE F&O,2020-10-27,NSE-F&O - Z,Delivery Voucher,122063.890000,0.000000,-478310.395404
Funds added using NEFT/IMPS/RTGS ZH5597 with reference number IDFBH20302605860,2020-10-28,NSE-EQ - Z,Bank Receipts,0.000000,90000.000000,-388310.395404
Net settlement  for  NSE-Equity with settlement number: 2020208,2020-10-28,NSE-EQ - Z,Book Voucher,0.000000,122153.598345,-266156.797059
DP Charges for Sale of RECLTD on 28/10/2020,2020-10-28,NSE-EQ - Z,Journal Entry,15.930000,0.000000,-266172.727059
Span margin reversed for NSE F&O,2020-10-28,NSE-F&O - Z,Delivery Voucher,0.000000,375215.750000,109043.022941
Exposure margin reversed for NSE F&O,2020-10-28,NSE-F&O - Z,Delivery Voucher,0.000000,122063.890000,231106.912941
Net obligation for NSE Equity F&O,2020-10-28,NSE-F&O - Z,Book Voucher,48357.804919,0.000000,182749.108022
Span margin blocked for NSE F&O,2020-10-28,NSE-F&O - Z,Delivery Voucher,659020.000000,0.000000,-476270.891978
Exposure margin blocked for NSE F&O,2020-10-28,NSE-F&O - Z,Delivery Voucher,134363.950000,0.000000,-610634.841978
ASM margin blocked NSE F&O positions held,2020-10-28,NSE-F&O - Z,Delivery Voucher,237197.610000,0.000000,-847832.451978
ASM margin reversed for NSE F&O positions held,2020-10-29,NSE-F&O - Z,Delivery Voucher,0.000000,237197.610000,-610634.841978
Span margin reversed for NSE F&O,2020-10-29,NSE-F&O - Z,Delivery Voucher,0.000000,659020.000000,48385.158022
Exposure margin reversed for NSE F&O,2020-10-29,NSE-F&O - Z,Delivery Voucher,0.000000,134363.950000,182749.108022
Net obligation for NSE Equity F&O,2020-10-29,NSE-F&O - Z,Book Voucher,16062.561800,0.000000,166686.546222
Span margin blocked for NSE F&O,2020-10-29,NSE-F&O - Z,Delivery Voucher,529482.000000,0.000000,-362795.453778
Exposure margin blocked for NSE F&O,2020-10-29,NSE-F&O - Z,Delivery Voucher,86973.550000,0.000000,-449769.003778
Span margin reversed for NSE F&O,2020-10-30,NSE-F&O - Z,Delivery Voucher,0.000000,529482.000000,79712.996222
Exposure margin reversed for NSE F&O,2020-10-30,NSE-F&O - Z,Delivery Voucher,0.000000,86973.550000,166686.546222
Net obligation for NSE Equity F&O,2020-10-30,NSE-F&O - Z,Book Voucher,27737.600000,0.000000,138948.946222
Span margin blocked for NSE F&O,2020-10-30,NSE-F&O - Z,Delivery Voucher,524422.000000,0.000000,-385473.053778
Exposure margin blocked for NSE F&O,2020-10-30,NSE-F&O - Z,Delivery Voucher,71348.370000,0.000000,-456821.423778
Payout of 40000.0/- to IDFC BANK 10037332087 A/C number as per withdrawal request made on 2020-10-30,2020-10-30,NSE-EQ - Z,Bank Payments,40000.000000,0.000000,-496821.423778
Span margin reversed for NSE F&O,2020-11-02,NSE-F&O - Z,Delivery Voucher,0.000000,524422.000000,27600.576222
Exposure margin reversed for NSE F&O,2020-11-02,NSE-F&O - Z,Delivery Voucher,0.000000,71348.370000,98948.946222
Net obligation for NSE Equity F&O,2020-11-02,NSE-F&O - Z,Book Voucher,0.000000,126818.135313,225767.081535
Span margin blocked for NSE F&O,2020-11-02,NSE-F&O - Z,Delivery Voucher,915685.000000,0.000000,-689917.918465
Exposure margin blocked for NSE F&O,2020-11-02,NSE-F&O - Z,Delivery Voucher,165109.970000,0.000000,-855027.888465
Span margin reversed for NSE F&O,2020-11-03,NSE-F&O - Z,Delivery Voucher,0.000000,915685.000000,60657.111535
Exposure margin reversed for NSE F&O,2020-11-03,NSE-F&O - Z,Delivery Voucher,0.000000,165109.970000,225767.081535
Net obligation for NSE Equity F&O,2020-11-03,NSE-F&O - Z,Book Voucher,0.000000,42154.040510,267921.122045
